symbol,company_name,sector,series
360ONE,360 ONE WAM LIMITED,Stockbroking & Allied,EQ
3MINDIA,3M India Limited,Diversified,EQ
AADHARHFC,Aadhar Housing Finance Limited,Housing Finance Company,EQ
AARTIIND,Aarti Industries Limited,Specialty Chemicals,EQ
AAVAS,Aavas Financiers Limited,Housing Finance Company,EQ
ABB,ABB India Limited,Heavy Electrical Equipment,EQ
ABBOTINDIA,Abbott India Limited,Pharmaceuticals,EQ
ABCAPITAL,Aditya Birla Capital Limited,Investment Company,EQ
ABFRL,Aditya Birla Fashion and Retail Limited,Speciality Retail,EQ
ABLBL,Aditya Birla Lifestyle Brands Limited,Speciality Retail,EQ
ABREL,Aditya Birla Real Estate Limited,Residential Commercial Projects,EQ
ABSLAMC,Aditya Birla Sun Life AMC Limited,Asset Management Company,EQ
ACC,ACC Limited,Cement & Cement Products,EQ
ACE,Action Construction Equipment Limited,Construction Vehicles,EQ
ACMESOLAR,Acme Solar Holdings Limited,Power Generation,EQ
ADANIENSOL,Adani Energy Solutions Limited,Power Distribution,EQ
ADANIENT,Adani Enterprises Limited,Trading - Minerals,EQ
ADANIGREEN,Adani Green Energy Limited,Power Generation,EQ
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Port & Port services,EQ
ADANIPOWER,Adani Power Limited,Integrated Power Utilities,EQ
AEGISLOG,Aegis Logistics Limited,Trading - Gas,EQ
AEGISVOPAK,Aegis Vopak Terminals Limited,Oil Storage & Transportation,EQ
AFCONS,Afcons Infrastructure Limited,Civil Construction,EQ
AFFLE,Affle 3i Limited,IT Enabled Services,EQ
AGARWALEYE,Dr. Agarwal's Health Care Limited,Hospital,EQ
AIAENG,AIA Engineering Limited,Castings & Forgings,EQ
AIIL,Authum Investment & Infrastructure Limited,Non Banking Financial Company (NBFC),EQ
AJANTPHARM,Ajanta Pharma Limited,Pharmaceuticals,EQ
AKUMS,Akums Drugs and Pharmaceuticals Limited,Pharmaceuticals,EQ
AKZOINDIA,Akzo Nobel India Limited,Paints,EQ
ALKEM,Alkem Laboratories Limited,Pharmaceuticals,EQ
ALKYLAMINE,Alkyl Amines Chemicals Limited,Specialty Chemicals,EQ
ALOKINDS,Alok Industries Limited,Other Textile Products,EQ
AMBER,Amber Enterprises India Limited,Household Appliances,EQ
AMBUJACEM,Ambuja Cements Limited,Cement & Cement Products,EQ
